2021-11-04 12:57:50,517 CLIENT MessageDeliveryThread INFO  client.AgentStrategy - AgentStrategy(): edu.kit.exp.impl.continuousCompetition.client.AgentCoreWithGui[,0,0,0x0,invalid,layout=java.awt.FlowLayout,alignmentX=0.0,alignmentY=0.0,border=,flags=9,maximumSize=,minimumSize=,preferredSize=]
2021-11-04 12:57:59,930 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 1500 to 2000. Duration is set to: 1800000
2021-11-04 12:58:00,428 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 4 and time 2000 in round 4 - pFirmB: 25.
2021-11-04 12:58:00,431 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 2000 to 2500. Duration is set to: 1800000
2021-11-04 12:58:00,931 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 5 and time 2500 in round 5 - pFirmB: 25.
2021-11-04 12:58:00,934 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 2500 to 3000. Duration is set to: 1800000
2021-11-04 12:58:01,434 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 6 and time 3000 in round 6 - pFirmB: 25.
2021-11-04 12:58:01,438 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 3000 to 3500. Duration is set to: 1800000
2021-11-04 12:58:01,939 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 7 and time 3500 in round 7 - pFirmB: 25.
2021-11-04 12:58:01,942 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 3500 to 4000. Duration is set to: 1800000
2021-11-04 12:58:02,442 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 8 and time 4000 in round 8 - pFirmB: 25.
2021-11-04 12:58:02,445 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 4000 to 4500. Duration is set to: 1800000
2021-11-04 12:58:02,945 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 9 and time 4500 in round 9 - pFirmB: 25.
2021-11-04 12:58:02,948 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 4500 to 5000. Duration is set to: 1800000
2021-11-04 12:58:03,446 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 10 and time 5000 in round 10 - pFirmB: 25.
2021-11-04 12:58:03,450 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 5000 to 5500. Duration is set to: 1800000
2021-11-04 12:58:03,950 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 11 and time 5500 in round 11 - pFirmB: 25.
2021-11-04 12:58:03,953 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 5500 to 6000. Duration is set to: 1800000
2021-11-04 12:58:04,451 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 12 and time 6000 in round 12 - pFirmB: 25.
2021-11-04 12:58:04,455 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 6000 to 6500. Duration is set to: 1800000
2021-11-04 12:58:04,952 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 13 and time 6500 in round 13 - pFirmB: 25.
2021-11-04 12:58:04,955 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 6500 to 7000. Duration is set to: 1800000
2021-11-04 12:58:05,454 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 14 and time 7000 in round 14 - pFirmB: 25.
2021-11-04 12:58:05,457 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 7000 to 7500. Duration is set to: 1800000
2021-11-04 12:58:05,955 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 15 and time 7500 in round 15 - pFirmB: 25.
2021-11-04 12:58:05,958 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 7500 to 8000. Duration is set to: 1800000
2021-11-04 12:58:06,455 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 16 and time 8000 in round 16 - pFirmB: 25.
2021-11-04 12:58:06,458 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 8000 to 8500. Duration is set to: 1800000
2021-11-04 12:58:06,956 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 17 and time 8500 in round 17 - pFirmB: 25.
2021-11-04 12:58:06,958 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 8500 to 9000. Duration is set to: 1800000
2021-11-04 12:58:07,461 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 18 and time 9000 in round 18 - pFirmB: 25.
2021-11-04 12:58:07,464 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 9000 to 9500. Duration is set to: 1800000
2021-11-04 12:58:07,965 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 19 and time 9500 in round 19 - pFirmB: 25.
2021-11-04 12:58:07,969 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 9500 to 10000. Duration is set to: 1800000
2021-11-04 12:58:08,470 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 20 and time 10000 in round 20 - pFirmB: 25.
2021-11-04 12:58:08,473 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 10000 to 10500. Duration is set to: 1800000
2021-11-04 12:58:08,971 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 21 and time 10500 in round 21 - pFirmB: 25.
2021-11-04 12:58:08,974 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 10500 to 11000. Duration is set to: 1800000
2021-11-04 12:58:09,471 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 22 and time 11000 in round 22 - pFirmB: 25.
2021-11-04 12:58:09,474 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 11000 to 11500. Duration is set to: 1800000
2021-11-04 12:58:09,975 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 23 and time 11500 in round 23 - pFirmB: 25.
2021-11-04 12:58:09,976 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 11500 to 12000. Duration is set to: 1800000
2021-11-04 12:58:10,475 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 24 and time 12000 in round 24 - pFirmB: 25.
2021-11-04 12:58:10,477 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 12000 to 12500. Duration is set to: 1800000
2021-11-04 12:58:10,976 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 25 and time 12500 in round 25 - pFirmB: 25.
2021-11-04 12:58:10,977 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 12500 to 13000. Duration is set to: 1800000
2021-11-04 12:58:11,479 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 26 and time 13000 in round 26 - pFirmB: 25.
2021-11-04 12:58:11,482 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 13000 to 13500. Duration is set to: 1800000
2021-11-04 12:58:11,980 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 27 and time 13500 in round 27 - pFirmB: 25.
2021-11-04 12:58:11,982 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 13500 to 14000. Duration is set to: 1800000
2021-11-04 12:58:12,483 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 28 and time 14000 in round 28 - pFirmB: 25.
2021-11-04 12:58:12,486 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 14000 to 14500. Duration is set to: 1800000
2021-11-04 12:58:12,985 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 29 and time 14500 in round 29 - pFirmB: 25.
2021-11-04 12:58:12,988 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 14500 to 15000. Duration is set to: 1800000
2021-11-04 12:58:13,488 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 30 and time 15000 in round 30 - pFirmB: 25.
2021-11-04 12:58:13,491 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 15000 to 15500. Duration is set to: 1800000
2021-11-04 12:58:13,989 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 31 and time 15500 in round 31 - pFirmB: 25.
2021-11-04 12:58:13,992 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 15500 to 16000. Duration is set to: 1800000
2021-11-04 12:58:14,491 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 32 and time 16000 in round 32 - pFirmB: 25.
2021-11-04 12:58:14,492 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 16000 to 16500. Duration is set to: 1800000
2021-11-04 12:58:14,994 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 33 and time 16500 in round 33 - pFirmB: 25.
2021-11-04 12:58:14,996 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 16500 to 17000. Duration is set to: 1800000
2021-11-04 12:58:15,498 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 34 and time 17000 in round 34 - pFirmB: 25.
2021-11-04 12:58:15,505 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 17000 to 17500. Duration is set to: 1800000
2021-11-04 12:58:16,000 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 35 and time 17500 in round 35 - pFirmB: 25.
2021-11-04 12:58:16,004 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 17500 to 18000. Duration is set to: 1800000
2021-11-04 12:58:16,505 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 36 and time 18000 in round 36 - pFirmB: 25.
2021-11-04 12:58:16,508 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 18000 to 18500. Duration is set to: 1800000
2021-11-04 12:58:17,010 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 37 and time 18500 in round 37 - pFirmB: 25.
2021-11-04 12:58:17,013 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 18500 to 19000. Duration is set to: 1800000
2021-11-04 12:58:17,511 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 38 and time 19000 in round 38 - pFirmB: 25.
2021-11-04 12:58:17,513 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 19000 to 19500. Duration is set to: 1800000
2021-11-04 12:58:18,013 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 39 and time 19500 in round 39 - pFirmB: 25.
2021-11-04 12:58:18,016 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 19500 to 20000. Duration is set to: 1800000
2021-11-04 12:58:18,518 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 40 and time 20000 in round 40 - pFirmB: 25.
2021-11-04 12:58:18,521 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 20000 to 20500. Duration is set to: 1800000
2021-11-04 12:58:19,019 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 41 and time 20500 in round 41 - pFirmB: 25.
2021-11-04 12:58:19,023 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 20500 to 21000. Duration is set to: 1800000
2021-11-04 12:58:19,520 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 42 and time 21000 in round 42 - pFirmB: 25.
2021-11-04 12:58:19,522 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 21000 to 21500. Duration is set to: 1800000
2021-11-04 12:58:20,021 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 43 and time 21500 in round 43 - pFirmB: 25.
2021-11-04 12:58:20,024 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 21500 to 22000. Duration is set to: 1800000
2021-11-04 12:58:20,522 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 44 and time 22000 in round 44 - pFirmB: 25.
2021-11-04 12:58:20,524 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 22000 to 22500. Duration is set to: 1800000
2021-11-04 12:58:21,023 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 45 and time 22500 in round 45 - pFirmB: 25.
2021-11-04 12:58:21,026 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 22500 to 23000. Duration is set to: 1800000
2021-11-04 12:58:21,524 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 46 and time 23000 in round 46 - pFirmB: 25.
2021-11-04 12:58:21,526 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 23000 to 23500. Duration is set to: 1800000
2021-11-04 12:58:22,028 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 47 and time 23500 in round 47 - pFirmB: 25.
2021-11-04 12:58:22,030 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 23500 to 24000. Duration is set to: 1800000
2021-11-04 12:58:22,529 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 48 and time 24000 in round 48 - pFirmB: 25.
2021-11-04 12:58:22,531 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 24000 to 24500. Duration is set to: 1800000
2021-11-04 12:58:23,029 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 49 and time 24500 in round 49 - pFirmB: 25.
2021-11-04 12:58:23,032 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 24500 to 25000. Duration is set to: 1800000
2021-11-04 12:58:23,534 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 50 and time 25000 in round 50 - pFirmB: 25.
2021-11-04 12:58:23,537 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 25000 to 25500. Duration is set to: 1800000
2021-11-04 12:58:24,035 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 51 and time 25500 in round 51 - pFirmB: 25.
2021-11-04 12:58:24,037 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 25500 to 26000. Duration is set to: 1800000
2021-11-04 12:58:24,535 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 52 and time 26000 in round 52 - pFirmB: 25.
2021-11-04 12:58:24,537 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 26000 to 26500. Duration is set to: 1800000
2021-11-04 12:58:25,035 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 53 and time 26500 in round 53 - pFirmB: 25.
2021-11-04 12:58:25,038 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 26500 to 27000. Duration is set to: 1800000
2021-11-04 12:58:25,541 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 54 and time 27000 in round 54 - pFirmB: 25.
2021-11-04 12:58:25,543 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 27000 to 27500. Duration is set to: 1800000
2021-11-04 12:58:26,046 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 55 and time 27500 in round 55 - pFirmB: 25.
2021-11-04 12:58:26,048 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 27500 to 28000. Duration is set to: 1800000
2021-11-04 12:58:26,551 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 56 and time 28000 in round 56 - pFirmB: 25.
2021-11-04 12:58:26,553 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 28000 to 28500. Duration is set to: 1800000
2021-11-04 12:58:27,053 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 57 and time 28500 in round 57 - pFirmB: 25.
2021-11-04 12:58:27,055 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 28500 to 29000. Duration is set to: 1800000
2021-11-04 12:58:27,557 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 58 and time 29000 in round 58 - pFirmB: 25.
2021-11-04 12:58:27,559 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 29000 to 29500. Duration is set to: 1800000
2021-11-04 12:58:28,059 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 59 and time 29500 in round 59 - pFirmB: 25.
2021-11-04 12:58:28,062 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 29500 to 30000. Duration is set to: 1800000
2021-11-04 12:58:28,559 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 60 and time 30000 in round 60 - pFirmB: 25.
2021-11-04 12:58:28,563 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 30000 to 30500. Duration is set to: 1800000
2021-11-04 12:58:29,061 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 61 and time 30500 in round 61 - pFirmB: 25.
2021-11-04 12:58:29,064 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 30500 to 31000. Duration is set to: 1800000
2021-11-04 12:58:29,566 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 62 and time 31000 in round 62 - pFirmB: 25.
2021-11-04 12:58:29,569 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 31000 to 31500. Duration is set to: 1800000
2021-11-04 12:58:30,068 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 63 and time 31500 in round 63 - pFirmB: 25.
2021-11-04 12:58:30,070 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 31500 to 32000. Duration is set to: 1800000
2021-11-04 12:58:30,571 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 64 and time 32000 in round 64 - pFirmB: 25.
2021-11-04 12:58:30,573 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 32000 to 32500. Duration is set to: 1800000
2021-11-04 12:58:31,071 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 65 and time 32500 in round 65 - pFirmB: 25.
2021-11-04 12:58:31,073 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 32500 to 33000. Duration is set to: 1800000
2021-11-04 12:58:31,571 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 66 and time 33000 in round 66 - pFirmB: 25.
2021-11-04 12:58:31,573 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 33000 to 33500. Duration is set to: 1800000
2021-11-04 12:58:32,075 AWT-EventQueue-0 INFO  client.AgentCore - Firm B: Sending actionUpdate with countId 67 and time 33500 in round 67 - pFirmB: 25.
2021-11-04 12:58:32,079 AWT-EventQueue-0 INFO  client.AgentCore - Timer: Advanced local time from 33500 to 34000. Duration is set to: 1800000
